stat_id,match_id,player_id,team_id,minutes_played,points,rebounds,assists,steals,blocks,turnovers,fg_made,fg_attempted,three_made,three_attempted,ft_made,ft_attempted,efficiency,goals,shots,shots_on_target,passes,pass_accuracy,tackles,interceptions,yellow_cards,red_cards,fouls,saves,rating,sets_played,attacks,attack_kills,serves,serve_aces,digs,receptions,reception_efficiency,errors,games_played,points_won,points_lost,smash_winners,net_shots,service_aces,unforced_errors,longest_rally,win_rate
S000011,M00001,P0081,T007,15.0,31.0,0.0,1.0,0.0,3.0,4.0,7.0,12.0,5.0,6.0,2.0,2.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000012,M00001,P0079,T007,15.0,8.0,6.0,7.0,1.0,4.0,0.0,8.0,9.0,1.0,3.0,0.0,2.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000013,M00001,P0080,T007,34.0,12.0,8.0,6.0,3.0,4.0,0.0,3.0,5.0,2.0,1.0,6.0,1.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000014,M00001,P0085,T007,12.0,21.0,0.0,9.0,1.0,3.0,3.0,2.0,3.0,0.0,4.0,0.0,10.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000015,M00001,P0087,T007,35.0,2.0,3.0,3.0,4.0,0.0,3.0,10.0,19.0,6.0,4.0,7.0,7.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000016,M00001,P0082,T007,20.0,27.0,10.0,5.0,5.0,2.0,2.0,4.0,14.0,5.0,6.0,6.0,9.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000017,M00004,P0042,T004,29.0,7.0,8.0,11.0,1.0,2.0,3.0,10.0,18.0,4.0,6.0,3.0,0.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000018,M00004,P0050,T004,40.0,20.0,0.0,10.0,2.0,0.0,6.0,6.0,17.0,1.0,9.0,7.0,6.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000019,M00004,P0038,T004,29.0,5.0,11.0,6.0,3.0,0.0,5.0,7.0,12.0,4.0,3.0,2.0,8.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000020,M00004,P0037,T004,28.0,32.0,1.0,2.0,3.0,0.0,2.0,9.0,17.0,1.0,7.0,1.0,7.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000021,M00004,P0044,T004,27.0,15.0,7.0,3.0,1.0,0.0,0.0,7.0,3.0,1.0,5.0,6.0,4.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000022,M00004,P0043,T004,33.0,16.0,15.0,10.0,0.0,1.0,4.0,8.0,5.0,6.0,5.0,3.0,9.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000023,M00004,P0039,T004,39.0,4.0,10.0,6.0,5.0,3.0,5.0,9.0,16.0,6.0,3.0,3.0,4.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000024,M00004,P0047,T004,19.0,5.0,3.0,1.0,2.0,4.0,1.0,2.0,14.0,1.0,5.0,6.0,9.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000025,M00004,P0051,T005,23.0,20.0,11.0,12.0,5.0,1.0,4.0,10.0,10.0,0.0,6.0,0.0,8.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000026,M00004,P0055,T005,24.0,20.0,4.0,4.0,1.0,3.0,5.0,8.0,7.0,4.0,4.0,2.0,10.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000027,M00004,P0063,T005,35.0,2.0,10.0,4.0,4.0,0.0,2.0,10.0,18.0,5.0,3.0,7.0,4.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000028,M00004,P0060,T005,40.0,24.0,1.0,12.0,2.0,1.0,6.0,4.0,10.0,5.0,0.0,2.0,7.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000029,M00004,P0059,T005,22.0,19.0,5.0,0.0,4.0,3.0,2.0,7.0,18.0,2.0,6.0,6.0,1.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000030,M00004,P0054,T005,33.0,18.0,9.0,11.0,1.0,4.0,3.0,2.0,7.0,2.0,9.0,0.0,4.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000031,M00004,P0057,T005,30.0,10.0,4.0,7.0,5.0,3.0,2.0,3.0,9.0,1.0,3.0,0.0,5.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000032,M00004,P0058,T005,37.0,6.0,4.0,6.0,3.0,1.0,0.0,2.0,14.0,3.0,2.0,0.0,1.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000033,M00005,P0089,T007,17.0,2.0,3.0,3.0,3.0,3.0,2.0,10.0,8.0,5.0,6.0,1.0,7.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000034,M00005,P0084,T007,36.0,24.0,8.0,10.0,5.0,3.0,2.0,1.0,6.0,0.0,1.0,1.0,7.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000035,M00005,P0088,T007,31.0,32.0,7.0,0.0,4.0,4.0,4.0,8.0,11.0,5.0,1.0,2.0,6.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000036,M00005,P0085,T007,30.0,27.0,9.0,9.0,1.0,0.0,2.0,2.0,20.0,1.0,6.0,0.0,6.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000037,M00005,P0081,T007,36.0,34.0,15.0,1.0,4.0,4.0,4.0,2.0,9.0,5.0,1.0,2.0,9.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000038,M00005,P0090,T007,15.0,0.0,14.0,12.0,2.0,0.0,0.0,3.0,9.0,5.0,2.0,1.0,8.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000039,M00005,P0087,T007,37.0,2.0,2.0,1.0,4.0,2.0,2.0,9.0,8.0,3.0,10.0,0.0,3.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000040,M00005,P0082,T007,11.0,33.0,9.0,10.0,4.0,3.0,1.0,10.0,18.0,5.0,5.0,8.0,5.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000041,M00005,P0033,T003,14.0,19.0,6.0,2.0,4.0,4.0,1.0,10.0,14.0,2.0,2.0,6.0,1.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000042,M00005,P0036,T003,18.0,16.0,12.0,10.0,1.0,3.0,3.0,2.0,11.0,5.0,6.0,2.0,8.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000043,M00005,P0028,T003,12.0,17.0,6.0,11.0,2.0,4.0,5.0,9.0,8.0,3.0,2.0,5.0,6.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000044,M00005,P0026,T003,10.0,15.0,2.0,4.0,0.0,4.0,0.0,9.0,16.0,0.0,5.0,1.0,5.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000045,M00005,P0025,T003,20.0,17.0,4.0,12.0,1.0,2.0,0.0,2.0,15.0,1.0,6.0,1.0,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000046,M00005,P0035,T003,26.0,19.0,15.0,1.0,4.0,2.0,5.0,10.0,12.0,4.0,4.0,1.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000047,M00005,P0032,T003,20.0,24.0,5.0,5.0,5.0,4.0,4.0,10.0,15.0,3.0,9.0,2.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000048,M00005,P0031,T003,31.0,32.0,4.0,10.0,1.0,1.0,3.0,10.0,11.0,0.0,10.0,5.0,3.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000049,M00006,P0060,T005,26.0,18.0,8.0,6.0,4.0,1.0,2.0,2.0,12.0,3.0,5.0,1.0,10.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000050,M00006,P0057,T005,12.0,15.0,2.0,2.0,4.0,0.0,0.0,5.0,20.0,3.0,0.0,6.0,10.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000051,M00006,P0058,T005,39.0,8.0,15.0,7.0,4.0,4.0,5.0,2.0,15.0,0.0,9.0,3.0,0.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000052,M00006,P0053,T005,23.0,34.0,11.0,3.0,5.0,4.0,5.0,10.0,4.0,4.0,7.0,2.0,10.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000053,M00006,P0061,T005,38.0,33.0,7.0,2.0,0.0,2.0,6.0,3.0,19.0,2.0,0.0,6.0,7.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000054,M00006,P0056,T005,15.0,23.0,3.0,5.0,5.0,1.0,6.0,9.0,6.0,2.0,4.0,7.0,4.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000055,M00006,P0062,T005,16.0,0.0,12.0,3.0,2.0,4.0,6.0,1.0,17.0,4.0,7.0,0.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000056,M00006,P0054,T005,29.0,29.0,10.0,4.0,2.0,0.0,0.0,6.0,8.0,3.0,5.0,0.0,1.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000057,M00006,P0071,T006,39.0,31.0,0.0,2.0,5.0,2.0,1.0,8.0,15.0,2.0,4.0,5.0,6.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000058,M00006,P0067,T006,15.0,34.0,8.0,1.0,3.0,3.0,1.0,3.0,14.0,5.0,6.0,0.0,5.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000059,M00006,P0065,T006,37.0,12.0,3.0,3.0,2.0,0.0,1.0,7.0,16.0,5.0,5.0,0.0,2.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000060,M00006,P0072,T006,16.0,30.0,8.0,1.0,3.0,3.0,4.0,8.0,7.0,2.0,6.0,8.0,6.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000061,M00006,P0075,T006,13.0,6.0,0.0,2.0,1.0,2.0,4.0,1.0,10.0,0.0,10.0,5.0,6.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000062,M00006,P0066,T006,33.0,0.0,13.0,7.0,2.0,2.0,3.0,2.0,16.0,1.0,9.0,2.0,8.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000063,M00006,P0070,T006,17.0,17.0,3.0,4.0,5.0,1.0,5.0,7.0,9.0,3.0,1.0,8.0,9.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000064,M00006,P0076,T006,16.0,9.0,7.0,1.0,1.0,3.0,0.0,5.0,9.0,1.0,6.0,0.0,9.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000065,M00009,P0038,T004,20.0,27.0,15.0,0.0,4.0,3.0,5.0,1.0,12.0,0.0,4.0,5.0,4.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000066,M00009,P0037,T004,21.0,26.0,7.0,5.0,0.0,1.0,0.0,1.0,4.0,5.0,5.0,3.0,4.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000067,M00009,P0043,T004,18.0,6.0,13.0,2.0,2.0,3.0,2.0,6.0,12.0,0.0,1.0,0.0,10.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000068,M00009,P0048,T004,34.0,8.0,10.0,5.0,5.0,2.0,5.0,10.0,19.0,4.0,5.0,3.0,10.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000069,M00009,P0045,T004,16.0,24.0,2.0,1.0,1.0,4.0,0.0,1.0,9.0,1.0,7.0,1.0,1.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000070,M00009,P0041,T004,27.0,21.0,9.0,11.0,3.0,1.0,4.0,3.0,4.0,1.0,3.0,6.0,8.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000071,M00009,P0040,T004,18.0,35.0,11.0,5.0,3.0,0.0,3.0,2.0,18.0,3.0,8.0,8.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000072,M00009,P0050,T004,29.0,17.0,4.0,4.0,0.0,4.0,0.0,4.0,15.0,3.0,10.0,8.0,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000073,M00009,P0081,T007,16.0,11.0,0.0,2.0,4.0,1.0,4.0,1.0,19.0,3.0,8.0,8.0,4.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000074,M00009,P0086,T007,37.0,14.0,9.0,11.0,2.0,4.0,0.0,3.0,10.0,0.0,8.0,3.0,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000075,M00009,P0087,T007,30.0,9.0,8.0,2.0,2.0,0.0,5.0,4.0,9.0,4.0,1.0,0.0,10.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000076,M00009,P0085,T007,30.0,23.0,10.0,1.0,5.0,4.0,2.0,3.0,16.0,4.0,4.0,5.0,0.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000077,M00009,P0088,T007,36.0,0.0,11.0,3.0,5.0,2.0,1.0,5.0,3.0,4.0,10.0,1.0,6.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000078,M00009,P0082,T007,30.0,16.0,6.0,7.0,1.0,2.0,2.0,4.0,15.0,1.0,7.0,3.0,6.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000079,M00009,P0083,T007,14.0,30.0,2.0,7.0,1.0,3.0,1.0,3.0,9.0,4.0,7.0,2.0,10.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000080,M00009,P0090,T007,10.0,19.0,5.0,2.0,3.0,4.0,1.0,2.0,7.0,0.0,6.0,3.0,7.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000081,M00011,P0011,T001,22.0,24.0,0.0,1.0,0.0,0.0,1.0,4.0,5.0,2.0,2.0,0.0,0.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000082,M00011,P0007,T001,35.0,6.0,10.0,11.0,0.0,1.0,1.0,8.0,17.0,6.0,2.0,4.0,5.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000083,M00011,P0002,T001,14.0,15.0,1.0,8.0,5.0,2.0,5.0,9.0,6.0,0.0,0.0,1.0,8.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000084,M00011,P0009,T001,13.0,32.0,13.0,2.0,0.0,1.0,0.0,4.0,16.0,3.0,2.0,5.0,10.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000085,M00011,P0003,T001,17.0,24.0,3.0,7.0,1.0,0.0,1.0,2.0,12.0,2.0,1.0,5.0,1.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000086,M00011,P0001,T001,39.0,5.0,1.0,9.0,1.0,1.0,3.0,9.0,13.0,4.0,2.0,6.0,2.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000087,M00011,P0005,T001,31.0,19.0,9.0,5.0,0.0,2.0,3.0,6.0,11.0,6.0,1.0,0.0,2.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000088,M00011,P0008,T001,30.0,9.0,10.0,2.0,3.0,3.0,5.0,8.0,5.0,0.0,9.0,6.0,4.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000089,M00011,P0065,T006,23.0,30.0,13.0,9.0,5.0,2.0,1.0,4.0,15.0,3.0,8.0,7.0,8.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000090,M00011,P0069,T006,25.0,34.0,7.0,6.0,0.0,4.0,5.0,7.0,19.0,4.0,3.0,1.0,3.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000091,M00011,P0066,T006,10.0,13.0,0.0,5.0,4.0,3.0,1.0,2.0,4.0,2.0,5.0,2.0,4.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000092,M00011,P0076,T006,14.0,35.0,13.0,3.0,1.0,1.0,0.0,3.0,6.0,5.0,2.0,6.0,0.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000093,M00011,P0070,T006,40.0,27.0,11.0,0.0,5.0,0.0,5.0,10.0,5.0,3.0,9.0,2.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000094,M00011,P0077,T006,21.0,9.0,2.0,3.0,0.0,0.0,4.0,7.0,7.0,6.0,2.0,7.0,2.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000095,M00011,P0073,T006,26.0,19.0,15.0,6.0,5.0,2.0,3.0,1.0,12.0,0.0,2.0,0.0,10.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000096,M00011,P0071,T006,29.0,11.0,5.0,0.0,3.0,3.0,5.0,8.0,20.0,5.0,4.0,8.0,4.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000097,M00012,P0094,T008,16.0,25.0,1.0,3.0,3.0,1.0,6.0,9.0,5.0,6.0,7.0,7.0,5.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000098,M00012,P0097,T008,30.0,25.0,12.0,2.0,0.0,2.0,5.0,7.0,9.0,2.0,1.0,1.0,1.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000099,M00012,P0093,T008,29.0,21.0,0.0,3.0,2.0,1.0,4.0,2.0,5.0,1.0,9.0,0.0,4.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000100,M00012,P0095,T008,27.0,12.0,1.0,3.0,2.0,0.0,4.0,10.0,4.0,4.0,7.0,0.0,0.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000101,M00012,P0092,T008,12.0,19.0,0.0,5.0,2.0,3.0,4.0,4.0,13.0,6.0,6.0,5.0,2.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000102,M00012,P0102,T008,31.0,6.0,10.0,6.0,5.0,4.0,0.0,9.0,7.0,0.0,9.0,6.0,7.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000103,M00012,P0099,T008,37.0,2.0,9.0,2.0,1.0,3.0,0.0,2.0,10.0,1.0,10.0,2.0,2.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000104,M00012,P0096,T008,26.0,33.0,10.0,7.0,1.0,2.0,2.0,6.0,16.0,0.0,10.0,6.0,3.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000105,M00012,P0034,T003,34.0,19.0,2.0,7.0,0.0,3.0,2.0,3.0,12.0,1.0,1.0,4.0,9.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000106,M00012,P0036,T003,21.0,5.0,2.0,2.0,5.0,3.0,2.0,8.0,11.0,6.0,7.0,2.0,1.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000107,M00012,P0026,T003,25.0,2.0,11.0,4.0,3.0,3.0,6.0,10.0,7.0,3.0,5.0,8.0,9.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000108,M00012,P0027,T003,20.0,23.0,2.0,10.0,3.0,4.0,3.0,5.0,4.0,4.0,10.0,0.0,3.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000109,M00012,P0032,T003,36.0,35.0,0.0,2.0,0.0,2.0,3.0,3.0,15.0,6.0,1.0,3.0,6.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000110,M00012,P0025,T003,24.0,5.0,11.0,7.0,3.0,4.0,6.0,8.0,6.0,0.0,2.0,1.0,6.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000111,M00012,P0031,T003,23.0,12.0,12.0,5.0,0.0,2.0,2.0,10.0,18.0,1.0,7.0,1.0,4.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000112,M00012,P0035,T003,11.0,34.0,4.0,7.0,1.0,1.0,2.0,10.0,4.0,4.0,6.0,0.0,5.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000113,M00013,P0043,T004,18.0,11.0,2.0,2.0,0.0,2.0,3.0,2.0,12.0,6.0,7.0,6.0,8.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000114,M00013,P0044,T004,31.0,16.0,5.0,0.0,0.0,3.0,2.0,5.0,8.0,1.0,5.0,6.0,7.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000115,M00013,P0040,T004,27.0,10.0,13.0,5.0,5.0,4.0,3.0,1.0,20.0,6.0,9.0,3.0,1.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000116,M00013,P0037,T004,31.0,9.0,10.0,10.0,5.0,2.0,0.0,3.0,17.0,1.0,7.0,5.0,1.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000117,M00013,P0048,T004,31.0,26.0,8.0,8.0,5.0,0.0,3.0,3.0,17.0,5.0,9.0,1.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000118,M00013,P0047,T004,33.0,12.0,13.0,11.0,4.0,1.0,4.0,7.0,9.0,2.0,3.0,3.0,10.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000119,M00013,P0050,T004,40.0,0.0,11.0,5.0,0.0,2.0,2.0,9.0,6.0,5.0,7.0,7.0,6.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000120,M00013,P0039,T004,21.0,22.0,13.0,8.0,2.0,0.0,1.0,8.0,16.0,2.0,2.0,8.0,9.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000121,M00013,P0072,T006,12.0,6.0,2.0,10.0,0.0,4.0,3.0,2.0,18.0,5.0,9.0,8.0,1.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000122,M00013,P0070,T006,24.0,32.0,1.0,10.0,2.0,3.0,1.0,4.0,17.0,4.0,6.0,1.0,3.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000123,M00013,P0077,T006,25.0,7.0,11.0,12.0,3.0,3.0,6.0,7.0,3.0,2.0,3.0,8.0,4.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000124,M00013,P0068,T006,38.0,16.0,9.0,12.0,3.0,1.0,0.0,7.0,4.0,0.0,0.0,2.0,5.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000125,M00013,P0074,T006,36.0,33.0,10.0,5.0,1.0,4.0,3.0,4.0,20.0,3.0,3.0,6.0,0.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000126,M00013,P0076,T006,39.0,27.0,4.0,10.0,3.0,1.0,3.0,6.0,19.0,1.0,6.0,3.0,1.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000127,M00013,P0075,T006,35.0,8.0,3.0,10.0,4.0,3.0,6.0,5.0,20.0,1.0,5.0,3.0,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000128,M00013,P0065,T006,10.0,27.0,0.0,10.0,4.0,1.0,0.0,10.0,20.0,0.0,9.0,6.0,0.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000129,M00016,P0036,T003,19.0,12.0,7.0,11.0,3.0,2.0,5.0,1.0,11.0,0.0,2.0,0.0,10.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000130,M00016,P0027,T003,37.0,6.0,3.0,7.0,4.0,0.0,0.0,3.0,12.0,2.0,2.0,1.0,1.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000131,M00016,P0032,T003,37.0,23.0,6.0,6.0,0.0,3.0,6.0,1.0,16.0,0.0,7.0,1.0,3.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000132,M00016,P0030,T003,23.0,24.0,10.0,10.0,3.0,1.0,1.0,5.0,3.0,1.0,10.0,0.0,1.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000133,M00016,P0035,T003,21.0,30.0,0.0,2.0,4.0,2.0,0.0,4.0,3.0,4.0,0.0,8.0,8.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000134,M00016,P0026,T003,14.0,13.0,11.0,1.0,1.0,0.0,2.0,3.0,10.0,0.0,2.0,4.0,4.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
