match_id,sport_type,tournament_type,match_date,match_time,venue,home_team_id,away_team_id,home_score,away_score,home_sets,away_sets,winner_team_id,status,referee,spectators,weather
M00032,篮球,季后赛,2024-03-05,14:00,体育馆A,T008,T006,88,113,,,T006,已结束,裁判28,5828,小雨
M00033,篮球,友谊赛,2024-10-03,15:00,大学球场,T008,T007,97,115,,,T007,未开始,裁判6,10180,室内
M00034,篮球,联赛,2024-11-21,19:00,大学球场,T008,T006,116,107,,,T008,未开始,裁判10,6188,小雨
M00035,篮球,锦标赛,2024-02-15,17:00,体育馆C,T004,T007,108,99,,,T004,已结束,裁判10,672,晴
M00036,篮球,常规赛,2024-05-26,19:00,体育馆D,T003,T008,110,114,,,T008,进行中,裁判10,649,小雨
M00037,篮球,联赛,2024-04-28,16:00,体育馆B,T005,T008,130,80,,,T005,进行中,裁判29,9684,小雨
M00038,篮球,友谊赛,2024-03-24,20:00,体育馆D,T007,T002,125,127,,,T002,已结束,裁判9,1797,小雨
M00039,篮球,锦标赛,2024-11-09,16:00,大学球场,T004,T005,124,123,,,T004,未开始,裁判26,4904,小雨
M00040,篮球,锦标赛,2024-02-05,14:00,大学球场,T004,T007,91,88,,,T004,进行中,裁判20,7918,阴
M00041,篮球,常规赛,2024-06-13,18:00,体育馆A,T008,T002,81,89,,,T002,已结束,裁判4,5122,阴
M00042,篮球,季后赛,2024-08-12,14:00,体育馆B,T003,T006,126,80,,,T003,已结束,裁判16,4058,阴
M00043,篮球,常规赛,2024-09-12,16:00,体育馆A,T007,T003,103,109,,,T003,已结束,裁判2,4866,小雨
M00044,篮球,锦标赛,2024-08-28,20:00,体育馆D,T002,T005,91,92,,,T005,已结束,裁判4,13085,多云
M00045,篮球,常规赛,2024-08-14,15:00,体育馆D,T007,T008,95,127,,,T008,已结束,裁判17,11411,多云
M00046,篮球,季后赛,2024-12-14,19:00,大学球场,T008,T004,99,100,,,T004,已结束,裁判24,9504,室内
M00047,篮球,季后赛,2024-09-03,16:00,体育馆A,T002,T003,120,99,,,T002,已结束,裁判4,4366,小雨
M00048,篮球,联赛,2024-03-26,14:00,体育馆D,T006,T001,130,97,,,T006,已结束,裁判1,1188,室内
M00049,篮球,常规赛,2024-11-01,15:00,体育馆B,T008,T006,89,103,,,T006,进行中,裁判3,11738,室内
M00050,篮球,季后赛,2024-11-16,19:00,体育中心,T006,T007,83,83,,,T007,已结束,裁判5,8492,多云
M00051,篮球,友谊赛,2024-11-26,19:00,体育馆B,T006,T005,128,102,,,T006,已结束,裁判23,6689,阴
M00052,篮球,友谊赛,2024-01-21,18:00,体育馆C,T003,T008,111,125,,,T008,未开始,裁判23,8529,多云
M00053,篮球,友谊赛,2024-06-27,16:00,社区球场,T003,T005,100,126,,,T005,未开始,裁判30,14599,室内
M00054,篮球,锦标赛,2024-09-28,20:00,体育馆C,T003,T001,89,108,,,T001,未开始,裁判12,7939,晴
M00055,篮球,锦标赛,2024-04-04,20:00,体育中心,T007,T006,81,119,,,T006,已结束,裁判11,12312,晴
M00056,篮球,联赛,2024-09-25,15:00,体育中心,T007,T002,123,111,,,T007,已结束,裁判11,7214,阴
M00057,篮球,常规赛,2024-09-24,20:00,体育馆B,T002,T001,122,84,,,T002,已结束,裁判28,1012,多云
M00058,篮球,联赛,2024-04-08,19:00,社区球场,T002,T004,86,82,,,T002,进行中,裁判22,8526,室内
M00059,篮球,常规赛,2024-07-06,14:00,体育馆B,T005,T001,94,118,,,T001,进行中,裁判30,14132,晴
M00060,篮球,联赛,2024-11-23,19:00,体育馆D,T008,T007,83,103,,,T007,已结束,裁判26,12106,晴
M00061,篮球,锦标赛,2024-01-21,14:00,体育馆B,T005,T008,126,84,,,T005,未开始,裁判4,2158,多云
M00062,篮球,季后赛,2024-04-08,18:00,大学球场,T007,T002,113,122,,,T002,已结束,裁判18,12774,室内
M00063,篮球,联赛,2024-02-24,16:00,大学球场,T007,T006,129,120,,,T007,进行中,裁判23,11399,小雨
M00064,篮球,联赛,2024-04-02,16:00,大学球场,T002,T008,115,105,,,T002,已结束,裁判18,10329,小雨
M00065,篮球,友谊赛,2024-10-08,20:00,大学球场,T006,T003,100,103,,,T003,进行中,裁判27,12392,阴
M00066,篮球,联赛,2024-10-06,19:00,体育馆C,T004,T005,93,104,,,T005,已结束,裁判15,7831,小雨
M00067,篮球,常规赛,2024-01-18,18:00,体育馆B,T001,T006,98,118,,,T006,已结束,裁判1,5420,多云
M00068,篮球,锦标赛,2024-06-10,18:00,体育中心,T004,T007,81,129,,,T007,未开始,裁判19,9865,多云
M00069,篮球,季后赛,2024-08-23,16:00,体育馆C,T002,T001,102,89,,,T002,未开始,裁判8,4317,阴
M00070,篮球,季后赛,2024-10-19,19:00,体育馆A,T005,T001,105,116,,,T001,已结束,裁判26,8405,多云
M00071,篮球,常规赛,2024-12-19,18:00,大学球场,T008,T007,124,116,,,T008,已结束,裁判2,12473,室内
M00072,篮球,锦标赛,2024-01-29,20:00,体育馆D,T007,T001,129,101,,,T007,进行中,裁判30,14718,晴
M00073,篮球,友谊赛,2024-11-30,14:00,体育馆C,T004,T006,118,80,,,T004,未开始,裁判2,5731,室内
M00074,篮球,季后赛,2024-09-14,14:00,大学球场,T003,T008,124,94,,,T003,进行中,裁判15,12834,室内
M00075,篮球,友谊赛,2024-08-09,15:00,体育馆B,T002,T008,98,130,,,T008,已结束,裁判3,8296,室内
M00076,篮球,友谊赛,2024-07-23,18:00,体育馆D,T001,T005,96,85,,,T001,已结束,裁判25,2709,小雨
M00077,篮球,季后赛,2024-07-21,18:00,体育中心,T004,T008,121,116,,,T004,未开始,裁判8,4470,晴
M00078,篮球,联赛,2024-08-08,14:00,体育馆A,T005,T007,100,123,,,T007,进行中,裁判14,6484,阴
M00079,篮球,常规赛,2024-06-25,20:00,体育馆C,T004,T003,118,121,,,T003,已结束,裁判12,10596,小雨
M00080,篮球,锦标赛,2024-01-23,15:00,社区球场,T003,T004,94,92,,,T003,已结束,裁判4,12617,晴
M00081,篮球,锦标赛,2024-03-16,19:00,社区球场,T004,T005,98,80,,,T004,已结束,裁判10,7873,小雨
M00082,篮球,季后赛,2024-04-17,15:00,体育中心,T001,T003,127,114,,,T001,未开始,裁判25,4737,室内
M00083,篮球,友谊赛,2024-03-13,18:00,大学球场,T008,T005,124,124,,,T008,未开始,裁判2,4685,多云
M00084,篮球,联赛,2024-04-12,16:00,体育馆A,T001,T003,130,124,,,T001,进行中,裁判21,636,晴
M00085,篮球,常规赛,2024-05-18,14:00,体育馆C,T007,T006,122,122,,,T006,进行中,裁判8,6737,室内
M00086,篮球,常规赛,2024-09-05,15:00,体育馆B,T002,T003,118,114,,,T002,未开始,裁判15,9686,晴
M00087,篮球,友谊赛,2024-09-28,17:00,大学球场,T001,T002,99,101,,,T002,已结束,裁判1,6181,阴
M00088,篮球,锦标赛,2024-06-03,20:00,体育馆A,T006,T008,95,112,,,T008,已结束,裁判29,6843,晴
M00089,篮球,季后赛,2024-03-18,14:00,大学球场,T005,T002,101,105,,,T002,进行中,裁判17,11608,室内
M00090,篮球,友谊赛,2024-05-03,16:00,体育中心,T004,T008,116,89,,,T004,已结束,裁判15,9383,多云
M00091,篮球,季后赛,2024-03-11,20:00,体育馆B,T004,T006,117,114,,,T004,已结束,裁判23,12052,室内
M00092,篮球,季后赛,2024-03-15,16:00,体育馆A,T003,T004,121,116,,,T003,未开始,裁判18,12287,晴
M00093,篮球,锦标赛,2024-03-15,17:00,体育馆D,T003,T008,126,81,,,T003,已结束,裁判15,12716,阴
M00094,篮球,季后赛,2024-04-06,14:00,社区球场,T003,T007,86,88,,,T007,未开始,裁判20,4872,室内
M00095,篮球,常规赛,2024-04-28,16:00,体育馆A,T004,T005,94,123,,,T005,进行中,裁判5,8730,室内
M00096,篮球,友谊赛,2024-11-28,17:00,体育馆D,T008,T006,103,91,,,T008,已结束,裁判6,3666,多云
M00097,篮球,季后赛,2024-01-08,19:00,大学球场,T001,T004,97,106,,,T004,已结束,裁判25,3851,晴
M00098,篮球,锦标赛,2024-11-11,20:00,体育馆D,T003,T004,111,124,,,T004,已结束,裁判14,7133,晴
M00099,篮球,联赛,2024-06-09,18:00,体育中心,T007,T006,105,119,,,T006,未开始,裁判21,14848,晴
M00100,篮球,联赛,2024-08-21,18:00,体育馆D,T002,T004,82,95,,,T004,已结束,裁判18,6847,室内
M00101,篮球,锦标赛,2024-05-29,20:00,社区球场,T001,T002,108,105,,,T001,已结束,裁判15,3227,小雨
M00102,篮球,季后赛,2024-01-28,17:00,社区球场,T005,T008,124,113,,,T005,进行中,裁判3,12339,室内
M00103,篮球,季后赛,2024-10-26,17:00,体育馆D,T002,T008,124,114,,,T002,已结束,裁判15,908,多云
M00104,篮球,常规赛,2024-12-30,16:00,体育馆C,T008,T005,92,109,,,T005,已结束,裁判23,12513,晴
M00105,篮球,锦标赛,2024-12-27,14:00,体育中心,T002,T001,108,120,,,T001,进行中,裁判24,13460,室内
M00106,篮球,季后赛,2024-10-08,16:00,体育中心,T003,T004,104,82,,,T003,已结束,裁判6,14734,多云
M00107,篮球,锦标赛,2024-12-30,16:00,大学球场,T003,T007,83,106,,,T007,进行中,裁判10,10763,多云
M00108,篮球,锦标赛,2024-04-13,14:00,体育馆D,T002,T008,80,119,,,T008,进行中,裁判28,8669,室内
M00109,篮球,联赛,2024-09-09,19:00,体育馆D,T001,T005,95,93,,,T001,进行中,裁判14,7739,晴
M00110,篮球,联赛,2024-10-07,20:00,社区球场,T001,T002,97,119,,,T002,已结束,裁判2,3528,多云
M00111,篮球,常规赛,2024-06-27,19:00,体育中心,T001,T006,82,89,,,T006,未开始,裁判10,5924,晴
M00112,篮球,锦标赛,2024-08-01,18:00,大学球场,T001,T008,91,90,,,T001,未开始,裁判19,13399,室内
M00113,篮球,常规赛,2024-10-23,20:00,体育馆C,T003,T004,103,82,,,T003,已结束,裁判12,6708,晴
M00114,篮球,友谊赛,2024-10-08,15:00,体育馆A,T007,T008,84,98,,,T008,已结束,裁判11,9135,小雨
M00115,篮球,常规赛,2024-04-17,18:00,大学球场,T004,T006,119,83,,,T004,未开始,裁判3,8424,室内
M00116,篮球,联赛,2024-11-07,18:00,体育中心,T005,T004,100,96,,,T005,已结束,裁判30,2625,室内
M00117,篮球,联赛,2024-11-19,15:00,大学球场,T008,T005,111,111,,,T008,已结束,裁判7,525,晴
M00118,篮球,季后赛,2024-11-16,20:00,体育中心,T001,T004,130,87,,,T001,进行中,裁判14,1245,阴
M00119,篮球,季后赛,2024-11-22,19:00,体育馆C,T006,T005,93,80,,,T006,已结束,裁判26,1611,阴
M00120,篮球,常规赛,2024-10-08,14:00,大学球场,T005,T008,100,129,,,T008,已结束,裁判11,6988,室内
M00121,足球,锦标赛,2024-03-30,19:00,体育馆D,T009,T015,1,2,,,T015,进行中,裁判26,1082,多云
M00122,足球,锦标赛,2024-11-17,17:00,社区球场,T016,T010,3,4,,,T010,进行中,裁判30,12666,晴
M00123,足球,联赛,2024-12-13,14:00,体育馆B,T013,T016,2,4,,,T016,未开始,裁判22,5934,阴
M00124,足球,友谊赛,2024-05-23,19:00,体育中心,T010,T016,0,2,,,T016,已结束,裁判19,10423,小雨
M00125,足球,锦标赛,2024-02-29,19:00,体育馆A,T011,T013,2,5,,,T013,已结束,裁判14,1922,小雨
M00126,足球,联赛,2024-08-19,16:00,体育馆B,T012,T011,2,1,,,T012,已结束,裁判12,13360,晴
M00127,足球,友谊赛,2024-08-15,18:00,体育馆B,T012,T009,4,0,,,T012,已结束,裁判11,8421,室内
M00128,足球,联赛,2024-06-16,19:00,体育馆B,T013,T015,1,0,,,T013,已结束,裁判24,1098,小雨
M00129,足球,常规赛,2024-09-24,19:00,社区球场,T015,T014,0,0,,,T014,未开始,裁判28,1926,阴
M00130,足球,锦标赛,2024-02-22,14:00,体育中心,T016,T009,4,5,,,T009,已结束,裁判21,3938,阴
M00131,足球,锦标赛,2024-05-26,20:00,体育馆D,T012,T010,2,4,,,T010,已结束,裁判9,2946,多云
M00132,足球,季后赛,2024-01-08,18:00,体育馆C,T013,T009,4,4,,,T013,未开始,裁判11,4940,多云
M00133,足球,锦标赛,2024-05-05,18:00,体育馆C,T013,T016,1,0,,,T013,未开始,裁判15,1331,多云
M00134,足球,常规赛,2024-12-11,14:00,体育馆D,T009,T012,0,0,,,T012,进行中,裁判6,12045,室内
M00135,足球,联赛,2024-07-01,14:00,社区球场,T016,T013,2,2,,,T016,进行中,裁判19,2659,晴
M00136,足球,友谊赛,2024-08-21,17:00,体育馆B,T016,T009,2,5,,,T009,已结束,裁判5,14608,室内
M00137,足球,锦标赛,2024-07-19,20:00,社区球场,T013,T011,1,5,,,T011,已结束,裁判15,8487,晴
M00138,足球,友谊赛,2024-02-27,20:00,体育馆B,T010,T012,2,3,,,T012,已结束,裁判25,6211,室内
M00139,足球,常规赛,2024-02-22,16:00,体育中心,T011,T013,3,5,,,T013,已结束,裁判26,5449,室内
M00140,足球,联赛,2024-10-29,15:00,体育中心,T016,T012,3,1,,,T016,已结束,裁判16,6788,晴
M00141,足球,友谊赛,2024-12-21,18:00,社区球场,T014,T010,4,3,,,T014,已结束,裁判18,11872,多云
M00142,足球,联赛,2024-12-08,20:00,体育馆D,T011,T014,0,5,,,T014,已结束,裁判19,10266,小雨
M00143,足球,锦标赛,2024-02-19,17:00,体育馆A,T014,T013,3,1,,,T014,未开始,裁判4,11731,室内
M00144,足球,常规赛,2024-09-10,15:00,社区球场,T015,T011,5,5,,,T015,已结束,裁判29,10015,晴
M00145,足球,锦标赛,2024-03-17,17:00,体育中心,T011,T014,3,4,,,T014,未开始,裁判15,3705,多云
M00146,足球,友谊赛,2024-10-18,19:00,体育馆C,T014,T011,5,2,,,T014,已结束,裁判19,633,室内
M00147,足球,锦标赛,2024-03-06,18:00,体育馆A,T015,T016,2,0,,,T015,已结束,裁判23,9675,阴
M00148,足球,友谊赛,2024-05-24,19:00,体育中心,T010,T015,0,1,,,T015,进行中,裁判21,5712,小雨
M00149,足球,季后赛,2024-08-10,17:00,体育馆B,T015,T012,4,1,,,T015,已结束,裁判18,6801,阴
M00150,足球,季后赛,2024-05-27,14:00,体育馆A,T015,T010,5,1,,,T015,已结束,裁判5,12318,小雨
M00151,足球,友谊赛,2024-02-13,20:00,体育馆D,T015,T010,1,5,,,T010,未开始,裁判30,7474,室内
M00152,足球,友谊赛,2024-09-17,17:00,体育馆C,T011,T012,3,4,,,T012,已结束,裁判6,7459,室内
M00153,足球,联赛,2024-09-12,16:00,体育馆D,T009,T013,5,1,,,T009,未开始,裁判19,6512,晴
M00154,足球,常规赛,2024-09-04,18:00,体育馆D,T009,T013,5,2,,,T009,已结束,裁判5,12463,室内
M00155,足球,联赛,2024-09-21,14:00,体育馆B,T013,T012,0,4,,,T012,进行中,裁判21,12651,晴
M00156,足球,常规赛,2024-01-28,17:00,体育馆D,T013,T016,2,4,,,T016,未开始,裁判29,8187,室内
M00157,足球,常规赛,2024-06-29,19:00,体育中心,T014,T012,2,2,,,T014,已结束,裁判24,13361,室内
M00158,足球,季后赛,2024-11-18,18:00,体育馆A,T013,T009,3,4,,,T009,已结束,裁判26,12581,室内
M00159,足球,联赛,2024-09-05,14:00,社区球场,T009,T011,0,1,,,T011,已结束,裁判9,2671,室内
M00160,足球,常规赛,2024-05-11,18:00,体育馆B,T013,T011,0,5,,,T011,未开始,裁判24,2976,小雨
M00161,足球,季后赛,2024-03-30,17:00,体育馆B,T014,T015,2,5,,,T015,未开始,裁判28,1042,阴
M00162,足球,友谊赛,2024-10-31,20:00,体育馆D,T010,T016,1,3,,,T016,已结束,裁判22,7711,多云
M00163,足球,锦标赛,2024-06-25,20:00,社区球场,T012,T013,0,5,,,T013,已结束,裁判2,3245,小雨
M00164,足球,联赛,2024-06-03,15:00,体育馆D,T015,T012,3,5,,,T012,进行中,裁判16,4802,多云
M00165,足球,联赛,2024-05-27,19:00,体育馆A,T015,T009,3,3,,,T009,已结束,裁判30,9204,阴
M00166,足球,锦标赛,2024-11-29,20:00,体育馆A,T015,T013,2,2,,,T013,已结束,裁判21,10071,小雨
M00167,足球,联赛,2024-12-11,20:00,体育馆B,T016,T015,5,1,,,T016,未开始,裁判11,11603,多云
M00168,足球,常规赛,2024-01-06,14:00,体育馆D,T014,T013,5,0,,,T014,已结束,裁判17,2202,小雨
M00169,足球,常规赛,2024-05-25,14:00,体育中心,T014,T010,2,1,,,T014,已结束,裁判2,10234,多云
M00170,足球,季后赛,2024-03-02,17:00,大学球场,T010,T014,0,4,,,T014,未开始,裁判26,3527,晴
M00171,足球,常规赛,2024-05-30,19:00,体育馆D,T011,T016,3,5,,,T016,已结束,裁判25,7495,阴
M00172,足球,友谊赛,2024-02-07,17:00,体育馆C,T013,T010,2,0,,,T013,已结束,裁判9,13816,阴
M00173,足球,联赛,2024-02-05,17:00,体育馆B,T011,T012,3,1,,,T011,进行中,裁判4,2857,室内
M00174,足球,友谊赛,2024-11-10,19:00,体育馆C,T015,T010,5,0,,,T015,已结束,裁判2,1694,晴
M00175,足球,季后赛,2024-08-16,19:00,大学球场,T013,T015,0,3,,,T015,已结束,裁判30,1119,小雨
M00176,足球,联赛,2024-12-24,14:00,体育中心,T013,T010,2,3,,,T010,进行中,裁判16,7644,小雨
M00177,足球,友谊赛,2024-04-25,14:00,体育中心,T010,T013,0,3,,,T013,未开始,裁判30,6380,阴
M00178,足球,锦标赛,2024-01-29,18:00,社区球场,T013,T012,5,5,,,T013,已结束,裁判3,14281,小雨
M00179,足球,常规赛,2024-04-13,17:00,大学球场,T013,T014,1,4,,,T014,已结束,裁判10,11901,小雨
M00180,足球,常规赛,2024-12-18,19:00,体育馆D,T010,T014,2,3,,,T014,已结束,裁判5,1084,多云
M00181,足球,友谊赛,2024-10-30,14:00,社区球场,T009,T014,1,3,,,T014,未开始,裁判21,5541,小雨
M00182,足球,锦标赛,2024-01-19,20:00,大学球场,T016,T009,2,0,,,T016,已结束,裁判13,2436,多云
M00183,足球,联赛,2024-10-01,15:00,体育馆A,T016,T014,1,5,,,T014,已结束,裁判24,2819,小雨
M00184,足球,季后赛,2024-11-12,14:00,体育馆B,T009,T012,0,1,,,T012,已结束,裁判29,5535,晴
M00185,足球,常规赛,2024-03-28,14:00,体育馆D,T016,T013,4,0,,,T016,未开始,裁判26,10586,多云
M00186,足球,友谊赛,2024-04-13,16:00,体育馆A,T010,T015,3,2,,,T010,未开始,裁判18,2750,阴
M00187,足球,锦标赛,2024-01-24,14:00,体育馆A,T012,T015,4,1,,,T012,已结束,裁判5,12911,小雨
M00188,足球,友谊赛,2024-07-08,15:00,体育中心,T011,T014,4,1,,,T011,已结束,裁判5,2137,室内
M00189,足球,常规赛,2024-03-21,14:00,体育馆A,T015,T016,0,3,,,T016,已结束,裁判30,1960,室内
M00190,足球,季后赛,2024-12-21,15:00,体育馆B,T013,T012,3,5,,,T012,已结束,裁判17,7879,小雨
M00191,足球,联赛,2024-11-08,15:00,大学球场,T012,T010,5,0,,,T012,进行中,裁判20,1942,阴
M00192,足球,季后赛,2024-01-03,14:00,体育中心,T014,T012,4,1,,,T014,已结束,裁判20,6429,室内
M00193,足球,锦标赛,2024-11-16,14:00,体育馆B,T012,T016,5,1,,,T012,已结束,裁判26,2944,小雨
M00194,足球,常规赛,2024-03-22,19:00,体育馆C,T016,T010,5,0,,,T016,已结束,裁判7,7621,阴
M00195,足球,联赛,2024-08-20,15:00,体育馆B,T014,T013,0,0,,,T014,已结束,裁判16,8936,晴
M00196,足球,友谊赛,2024-08-15,15:00,大学球场,T010,T016,4,4,,,T016,已结束,裁判8,13262,晴
M00197,足球,友谊赛,2024-02-20,20:00,体育馆B,T014,T010,1,5,,,T010,进行中,裁判29,4115,晴
M00198,足球,季后赛,2024-09-05,15:00,体育中心,T016,T013,0,3,,,T013,进行中,裁判6,6846,阴
M00199,足球,锦标赛,2024-04-09,15:00,体育馆C,T011,T012,5,2,,,T011,已结束,裁判2,11841,室内
M00200,足球,友谊赛,2024-03-10,17:00,体育馆B,T009,T011,0,3,,,T011,已结束,裁判8,5335,室内
M00201,足球,联赛,2024-11-22,18:00,社区球场,T011,T015,4,1,,,T011,已结束,裁判3,7245,室内
M00202,足球,友谊赛,2024-04-20,16:00,体育馆A,T016,T015,4,3,,,T016,进行中,裁判24,14796,多云
M00203,足球,联赛,2024-08-10,15:00,体育中心,T012,T011,4,1,,,T012,已结束,裁判14,1224,晴
M00204,足球,联赛,2024-09-15,17:00,体育馆D,T016,T014,0,3,,,T014,已结束,裁判15,8614,多云
M00205,足球,季后赛,2024-01-07,15:00,体育馆C,T010,T013,5,5,,,T013,已结束,裁判8,11110,晴
M00206,足球,友谊赛,2024-12-08,20:00,体育中心,T009,T012,2,1,,,T009,未开始,裁判1,7952,小雨
M00207,足球,锦标赛,2024-12-26,19:00,体育馆D,T011,T015,3,1,,,T011,已结束,裁判28,10777,晴
M00208,足球,锦标赛,2024-06-19,17:00,社区球场,T015,T014,4,0,,,T015,已结束,裁判23,10535,室内
M00209,足球,锦标赛,2024-12-16,19:00,体育馆A,T012,T015,0,4,,,T015,未开始,裁判30,11553,阴
M00210,足球,联赛,2024-07-15,14:00,体育馆C,T009,T016,2,3,,,T016,已结束,裁判6,11119,室内
M00211,足球,季后赛,2024-12-29,18:00,体育馆A,T010,T013,1,1,,,T013,进行中,裁判24,12825,室内
M00212,足球,联赛,2024-04-25,19:00,体育馆D,T012,T015,2,2,,,T015,已结束,裁判2,1538,阴
M00213,足球,友谊赛,2024-09-05,19:00,体育中心,T014,T012,4,4,,,T014,未开始,裁判29,5288,小雨
M00214,足球,季后赛,2024-12-10,17:00,体育馆A,T014,T015,5,0,,,T014,已结束,裁判13,3429,阴
M00215,足球,季后赛,2024-03-25,17:00,体育馆B,T010,T009,2,0,,,T010,已结束,裁判17,10777,晴
M00216,足球,友谊赛,2024-12-15,16:00,体育馆D,T013,T012,4,1,,,T013,进行中,裁判24,11062,晴
M00217,足球,联赛,2024-02-02,19:00,体育馆C,T013,T010,0,1,,,T010,进行中,裁判19,6116,阴
M00218,足球,联赛,2024-12-06,17:00,体育馆D,T016,T013,5,4,,,T016,已结束,裁判19,2661,阴
M00219,足球,锦标赛,2024-05-13,16:00,社区球场,T011,T015,1,3,,,T015,已结束,裁判5,6285,阴
M00220,足球,联赛,2024-11-12,16:00,体育馆B,T016,T010,1,5,,,T010,已结束,裁判27,12101,多云
M00221,足球,联赛,2024-02-29,15:00,体育馆D,T011,T010,0,2,,,T010,已结束,裁判12,3522,多云
M00222,足球,锦标赛,2024-06-11,17:00,体育中心,T009,T014,2,1,,,T009,已结束,裁判18,5440,晴
M00223,足球,锦标赛,2024-09-12,15:00,体育馆A,T009,T012,1,3,,,T012,未开始,裁判17,5927,阴
M00224,足球,联赛,2024-10-20,19:00,体育馆D,T016,T011,5,1,,,T016,已结束,裁判23,2340,小雨
M00225,足球,锦标赛,2024-12-13,14:00,体育馆D,T009,T010,4,0,,,T009,未开始,裁判27,4110,小雨
M00226,足球,季后赛,2024-06-16,18:00,体育中心,T014,T009,0,4,,,T009,已结束,裁判26,13068,阴
M00227,足球,常规赛,2024-02-12,18:00,体育馆D,T012,T009,4,3,,,T012,已结束,裁判16,5706,室内
M00228,足球,友谊赛,2024-07-03,16:00,体育馆D,T009,T014,3,1,,,T009,已结束,裁判1,5163,阴
M00229,足球,季后赛,2024-08-16,19:00,体育馆D,T014,T011,4,0,,,T014,进行中,裁判26,7749,阴
M00230,足球,季后赛,2024-08-05,20:00,体育中心,T011,T015,5,3,,,T011,未开始,裁判3,2853,多云
M00231,足球,联赛,2024-09-25,20:00,体育馆D,T013,T012,2,0,,,T013,已结束,裁判1,7208,阴
M00232,足球,联赛,2024-10-11,20:00,体育馆B,T015,T010,3,5,,,T010,已结束,裁判6,14136,小雨
